ElapsedTime,PacketLossRate
0.000,0.9994
0.000,0.9909
0.023,0.9813
0.050,0.9811
0.067,0.9811
0.080,0.9811
0.093,0.9811
0.107,0.9731
0.126,0.9638
0.141,0.9574
0.152,0.9565
0.164,0.9565
0.177,0.9565
0.191,0.9557
0.205,0.9557
0.219,0.9534
0.234,0.9443
0.251,0.9362
0.265,0.9267
0.278,0.9188
0.293,0.9188
0.319,0.9188
0.329,0.9188
0.342,0.9188
0.357,0.9188
0.371,0.9186
0.385,0.9099
0.404,0.9004
0.418,0.8911
0.433,0.8815
0.446,0.8726
0.459,0.8705
0.469,0.8705
0.481,0.8637
0.499,0.8557
0.513,0.8461
0.529,0.8366
0.543,0.8270
0.557,0.8203
0.568,0.8203
0.579,0.8194
0.593,0.8099
0.617,0.8003
0.643,0.7908
0.667,0.7813
0.680,0.7717
0.696,0.7628
0.711,0.7537
0.722,0.7442
0.736,0.7348
0.750,0.7253
0.764,0.7204
0.775,0.7204
0.787,0.7181
0.804,0.7086
0.819,0.6994
0.833,0.6899
0.846,0.6804
0.862,0.6734
0.873,0.6734
0.884,0.6719
0.899,0.6624
0.919,0.6530
0.945,0.6435
0.958,0.6340
0.973,0.6244
0.989,0.6183
1.017,0.6183
1.023,0.6183
1.038,0.6087
1.056,0.5992
1.070,0.5899
1.083,0.5803
1.097,0.5708
1.112,0.5634
1.123,0.5547
1.135,0.5451
1.149,0.5356
1.163,0.5261
1.177,0.5242
1.189,0.5242
1.200,0.5195
1.217,0.5100
1.233,0.5008
1.246,0.4915
1.261,0.4833
1.274,0.4797
1.285,0.4788
1.299,0.4746
1.314,0.4665
1.330,0.4570
1.343,0.4474
1.373,0.4381
1.385,0.4288
1.398,0.4288
1.404,0.4279
1.412,0.4199
1.427,0.4110
1.442,0.4017
1.457,0.3921
1.477,0.3834
1.489,0.3807
1.497,0.3807
1.505,0.3749
1.524,0.3663
1.539,0.3574
1.552,0.3482
1.566,0.3389
1.582,0.3334
1.592,0.3334
1.603,0.3321
1.618,0.3226
1.635,0.3139
1.649,0.3044
1.664,0.2953
1.678,0.2885
1.691,0.2866
1.702,0.2866
1.714,0.2777
1.734,0.2690
1.749,0.2596
1.766,0.2505
1.783,0.2412
1.801,0.2376
1.811,0.2363
1.821,0.2298
1.833,0.2232
1.844,0.2145
1.863,0.2058
1.877,0.1975
1.890,0.1942
1.906,0.1942
1.914,0.1925
1.924,0.1840
1.942,0.1755
1.957,0.1677
1.971,0.1596
1.987,0.1520
2.000,0.1520
2.008,0.1520
2.021,0.1471
2.036,0.1416
2.056,0.1354
2.070,0.1261
2.081,0.1195
2.092,0.1195
2.105,0.1195
2.118,0.1189
2.132,0.1168
2.146,0.1267
2.162,0.1174
2.177,0.1136
2.192,0.1130
2.204,0.1130
2.215,0.1128
2.228,0.1116
2.244,0.1064
2.258,0.1014
2.273,0.0996
2.286,0.0996
2.303,0.0996
2.312,0.0996
2.325,0.0985
2.340,0.0977
2.354,0.0975
2.368,0.0971
2.381,0.0969
2.395,0.0969
2.409,0.0969
2.422,0.0965
2.437,0.0963
2.451,0.0950
2.465,0.0950
2.478,0.0942
2.493,0.0936
2.506,0.0936
2.520,0.0936
2.534,0.0931
2.548,0.0927
2.562,0.0927
2.576,0.0927
2.589,0.0923
2.603,0.0919
2.618,0.0919
2.631,0.0911
2.645,0.0907
2.660,0.0907
2.673,0.0907
2.687,0.0907
2.700,0.0905
2.715,0.0905
2.729,0.0903
2.742,0.0900
2.757,0.0890
2.771,0.0890
2.784,0.0890
2.799,0.0890
2.812,0.0890
2.826,0.0890
2.840,0.0886
2.855,0.0878
2.868,0.0878
2.881,0.0878
2.895,0.0878
2.909,0.0878
2.923,0.0878
2.937,0.0869
