ElapsedTime,PacketLossRate
0.000,0.9962
0.000,0.9911
0.020,0.9911
0.030,0.9911
0.044,0.9911
0.057,0.9911
0.072,0.9869
0.089,0.9828
0.104,0.9809
0.115,0.9809
0.127,0.9807
0.142,0.9762
0.159,0.9762
0.169,0.9759
0.183,0.9708
0.204,0.9633
0.216,0.9569
0.229,0.9499
0.244,0.9480
0.253,0.9480
0.266,0.9480
0.280,0.9440
0.296,0.9363
0.313,0.9308
0.327,0.9236
0.340,0.9174
0.355,0.9148
0.365,0.9148
0.376,0.9123
0.392,0.9057
0.409,0.8995
0.421,0.8917
0.437,0.8854
0.449,0.8810
0.462,0.8810
0.474,0.8810
0.487,0.8744
0.510,0.8668
0.538,0.8590
0.563,0.8513
0.577,0.8440
0.588,0.8400
0.601,0.8323
0.616,0.8264
0.632,0.8189
0.644,0.8132
0.656,0.8065
0.672,0.8065
0.681,0.8057
0.698,0.7998
0.717,0.7924
0.744,0.7849
0.757,0.7774
0.784,0.7720
0.795,0.7664
0.811,0.7594
0.824,0.7527
0.839,0.7455
0.850,0.7399
0.864,0.7399
0.875,0.7399
0.889,0.7372
0.905,0.7313
0.920,0.7240
0.937,0.7179
0.953,0.7108
0.977,0.7080
0.988,0.7080
1.000,0.7020
1.017,0.6950
1.032,0.6881
1.047,0.6814
1.059,0.6741
1.088,0.6734
1.097,0.6690
1.114,0.6621
1.131,0.6560
1.143,0.6503
1.156,0.6428
1.173,0.6378
1.183,0.6378
1.194,0.6362
1.210,0.6297
1.226,0.6236
1.239,0.6166
1.254,0.6094
1.267,0.6066
1.279,0.6066
1.292,0.6066
1.306,0.6013
1.324,0.5946
1.343,0.5869
1.366,0.5798
1.394,0.5734
1.407,0.5660
1.435,0.5592
1.463,0.5519
1.480,0.5444
1.504,0.5391
1.516,0.5332
1.531,0.5258
1.547,0.5182
1.578,0.5110
1.601,0.5040
1.615,0.5006
1.627,0.4938
1.643,0.4876
1.656,0.4813
1.671,0.4754
1.684,0.4711
1.696,0.4711
1.708,0.4711
1.714,0.4700
1.723,0.4659
1.739,0.4590
1.752,0.4525
1.767,0.4459
1.780,0.4400
1.793,0.4400
1.804,0.4400
1.817,0.4354
1.835,0.4287
1.850,0.4228
1.863,0.4162
1.880,0.4234
1.896,0.4223
1.906,0.4223
1.914,0.4192
1.931,0.4128
1.947,0.4071
1.959,0.4002
1.976,0.3942
1.988,0.3912
1.999,0.3912
2.012,0.3906
2.026,0.3849
2.043,0.3780
2.062,0.3710
2.076,0.3647
2.088,0.3594
2.099,0.3577
2.111,0.3577
2.123,0.3527
2.140,0.3470
2.155,0.3411
2.169,0.3339
2.189,0.3268
2.204,0.3255
2.214,0.3255
2.220,0.3255
2.234,0.3255
2.248,0.3219
2.265,0.3167
2.279,0.3098
2.296,0.3050
2.309,0.3050
2.320,0.3050
2.331,0.2997
2.350,0.2965
2.361,0.2965
2.372,0.2965
2.387,0.2965
2.401,0.2965
2.414,0.2965
2.428,0.2940
2.445,0.2918
2.457,0.2918
2.471,0.2918
2.484,0.2879
2.502,0.2848
2.514,0.2848
2.526,0.2833
2.541,0.2819
2.554,0.2819
