ElapsedTime,PacketLossRate
0.000,0.9919
0.000,0.9803
0.027,0.9766
0.052,0.9766
0.058,0.9766
0.072,0.9766
0.086,0.9724
0.103,0.9631
0.117,0.9515
0.133,0.9483
0.144,0.9467
0.156,0.9416
0.172,0.9314
0.187,0.9314
0.197,0.9314
0.210,0.9249
0.228,0.9133
0.245,0.9042
0.255,0.8945
0.272,0.8922
0.285,0.8922
0.293,0.8922
0.307,0.8922
0.321,0.8922
0.335,0.8922
0.349,0.8922
0.363,0.8875
0.381,0.8769
0.397,0.8678
0.410,0.8586
0.424,0.8495
0.437,0.8421
0.451,0.8421
0.460,0.8414
0.474,0.8312
0.493,0.8205
0.509,0.8106
0.520,0.8015
0.534,0.7932
0.547,0.7916
0.562,0.7904
0.575,0.7851
0.588,0.7742
0.604,0.7651
0.617,0.7554
0.631,0.7450
0.646,0.7410
0.659,0.7410
0.667,0.7371
0.684,0.7262
0.700,0.7178
0.713,0.7076
0.728,0.6984
0.744,0.6893
0.770,0.6888
0.779,0.6810
0.795,0.6708
0.812,0.6601
0.839,0.6499
0.868,0.6413
0.880,0.6351
0.893,0.6274
0.908,0.6177
0.923,0.6072
0.952,0.5963
0.983,0.5864
1.006,0.5759
1.034,0.5662
1.047,0.5562
1.074,0.5463
1.089,0.5391
1.101,0.5312
1.116,0.5208
1.130,0.5129
1.144,0.5034
1.160,0.4990
1.186,0.4971
1.195,0.4867
1.214,0.4774
1.227,0.4681
1.255,0.4579
1.270,0.4521
1.295,0.4422
1.311,0.4345
1.341,0.4241
1.367,0.4139
1.379,0.4041
1.409,0.3944
1.435,0.3837
1.452,0.3733
1.478,0.3633
1.491,0.3536
1.506,0.3448
1.518,0.3369
1.532,0.3272
1.562,0.3176
1.590,0.3077
1.617,0.2975
1.630,0.2880
1.645,0.2796
1.658,0.2692
1.672,0.2652
1.698,0.2550
1.729,0.2444
1.757,0.2342
1.786,0.2240
1.813,0.2156
1.840,0.2052
1.868,0.1964
1.896,0.1862
1.926,0.1760
1.954,0.1655
1.980,0.1574
2.006,0.1479
2.035,0.1403
2.061,0.1322
2.090,0.1264
2.119,0.1199
2.137,0.1094
2.148,0.0981
2.160,0.0865
2.170,0.0756
2.183,0.0749
2.193,0.0749
2.206,0.0749
2.224,0.0749
2.234,0.0744
2.249,0.0742
2.263,0.0728
2.277,0.0726
2.290,0.0726
2.304,0.0726
2.318,0.0716
2.332,0.0716
2.346,0.0716
2.359,0.0714
2.373,0.0696
2.388,0.0696
2.401,0.0696
2.415,0.0682
2.430,0.0670
2.443,0.0670
