ElapsedTime,PacketLossRate
0.000,0.9990
0.000,0.9954
0.018,0.9941
0.026,0.9941
0.040,0.9941
0.053,0.9941
0.066,0.9941
0.081,0.9941
0.095,0.9898
0.112,0.9812
0.130,0.9733
0.145,0.9717
0.166,0.9717
0.177,0.9717
0.191,0.9690
0.207,0.9606
0.226,0.9539
0.237,0.9466
0.252,0.9409
0.266,0.9409
0.274,0.9409
0.288,0.9409
0.302,0.9409
0.316,0.9409
0.329,0.9409
0.344,0.9409
0.358,0.9409
0.372,0.9409
0.385,0.9409
0.399,0.9377
0.416,0.9287
0.439,0.9186
0.467,0.9084
0.491,0.9051
0.511,0.9051
0.524,0.9051
0.537,0.9051
0.550,0.9051
0.565,0.9051
0.579,0.9051
0.593,0.9051
0.606,0.9051
0.621,0.9051
0.635,0.9020
0.651,0.8944
0.669,0.8865
0.684,0.8865
0.690,0.8865
0.704,0.8807
0.723,0.8738
0.742,0.8659
0.768,0.8659
0.787,0.8659
0.801,0.8659
0.814,0.8659
0.828,0.8659
0.843,0.8659
0.857,0.8659
0.870,0.8659
0.885,0.8659
0.898,0.8659
0.912,0.8631
0.928,0.8555
0.950,0.8456
0.976,0.8356
1.001,0.8353
1.009,0.8353
1.023,0.8353
1.037,0.8353
1.050,0.8353
1.065,0.8353
1.079,0.8353
1.093,0.8353
1.106,0.8353
1.121,0.8338
1.136,0.8288
1.160,0.8196
1.182,0.8099
1.196,0.8058
1.208,0.8058
1.220,0.8020
1.234,0.7980
1.247,0.7980
1.258,0.7980
1.272,0.7980
1.285,0.7980
1.300,0.7980
1.314,0.7980
1.328,0.7980
1.342,0.7980
1.356,0.7980
1.362,0.7980
1.370,0.7980
1.381,0.7956
1.399,0.7941
1.409,0.7941
1.423,0.7873
1.441,0.7817
1.456,0.7733
1.492,0.7662
1.504,0.7662
1.509,0.7662
1.520,0.7662
1.534,0.7662
1.547,0.7662
1.562,0.7662
1.576,0.7662
1.589,0.7662
1.603,0.7662
1.617,0.7662
1.631,0.7631
1.648,0.7550
1.667,0.7483
1.678,0.7418
1.691,0.7389
1.705,0.7387
1.715,0.7387
1.729,0.7387
1.743,0.7387
1.757,0.7387
1.770,0.7387
1.784,0.7387
1.798,0.7387
1.812,0.7387
1.825,0.7379
1.841,0.7329
1.858,0.7264
1.872,0.7219
1.888,0.7193
1.901,0.7193
1.909,0.7193
1.923,0.7193
1.937,0.7193
1.950,0.7193
1.965,0.7193
1.979,0.7193
1.993,0.7193
2.006,0.7193
2.020,0.7193
2.034,0.7158
2.050,0.7102
2.068,0.7074
2.079,0.7058
2.091,0.7058
2.104,0.7058
2.118,0.7058
2.132,0.7058
2.145,0.6993
2.164,0.6937
2.179,0.6885
2.196,0.6853
2.205,0.6853
2.215,0.6853
2.228,0.6853
2.244,0.6809
2.261,0.6753
2.275,0.6703
2.291,0.6666
2.304,0.6662
2.313,0.6662
2.326,0.6662
2.340,0.6644
2.356,0.6598
2.373,0.6530
2.389,0.6498
2.400,0.6479
2.411,0.6479
2.423,0.6479
2.437,0.6479
2.450,0.6432
2.469,0.6409
2.482,0.6399
2.495,0.6399
2.506,0.6399
2.520,0.6399
2.534,0.6399
2.547,0.6376
2.564,0.6348
2.581,0.6338
2.591,0.6338
2.604,0.6338
2.617,0.6338
2.632,0.6338
2.645,0.6333
2.660,0.6305
2.676,0.6301
2.690,0.6301
2.701,0.6301
2.715,0.6301
2.728,0.6301
2.743,0.6301
2.757,0.6273
2.773,0.6249
2.788,0.6249
2.798,0.6249
2.812,0.6249
2.825,0.6249
2.840,0.6249
2.854,0.6236
2.871,0.6186
2.889,0.6143
2.906,0.6133
2.914,0.6133
2.922,0.6133
2.937,0.6133
2.950,0.6133
2.965,0.6089
2.984,0.6040
2.998,0.6013
3.009,0.5998
3.022,0.5997
3.035,0.5997
3.048,0.5997
3.062,0.5947
3.079,0.5900
3.092,0.5895
3.105,0.5895
3.118,0.5895
3.132,0.5895
3.145,0.5895
3.159,0.5891
3.173,0.5855
3.190,0.5827
3.203,0.5827
3.215,0.5827
3.228,0.5827
3.242,0.5827
3.256,0.5827
3.270,0.5811
3.286,0.5794
3.300,0.5787
3.313,0.5784
3.326,0.5784
3.340,0.5784
3.354,0.5784
3.367,0.5755
3.384,0.5657
3.412,0.5555
3.427,0.5527
3.435,0.5527
3.446,0.5527
3.460,0.5527
3.474,0.5468
3.491,0.5435
3.506,0.5418
3.519,0.5415
3.529,0.5412
3.544,0.5412
3.558,0.5412
3.572,0.5409
3.585,0.5386
3.601,0.5325
3.617,0.5285
3.629,0.5267
3.643,0.5267
3.655,0.5267
3.668,0.5267
3.683,0.5206
3.700,0.5137
3.715,0.5066
3.729,0.4990
3.743,0.4954
3.761,0.4954
3.769,0.4954
3.780,0.4914
3.797,0.4893
3.809,0.4893
3.822,0.4893
3.835,0.4893
3.849,0.4891
3.864,0.4891
3.877,0.4878
3.893,0.4868
3.905,0.4862
3.919,0.4862
3.933,0.4862
3.946,0.4862
3.961,0.4862
3.975,0.4858
3.989,0.4778
4.008,0.4738
4.019,0.4717
4.031,0.4717
4.044,0.4717
4.058,0.4717
4.072,0.4717
4.085,0.4674
4.103,0.4643
4.116,0.4624
4.128,0.4619
4.142,0.4619
4.155,0.4619
4.169,0.4619
4.183,0.4616
4.197,0.4572
4.217,0.4502
4.231,0.4446
4.246,0.4428
4.254,0.4428
4.266,0.4428
4.280,0.4428
4.294,0.4372
4.311,0.4301
4.326,0.4267
4.338,0.4257
4.350,0.4249
4.364,0.4249
4.378,0.4249
4.392,0.4249
4.405,0.4241
4.420,0.4222
4.435,0.4201
4.449,0.4135
4.468,0.4135
4.477,0.4135
4.488,0.4117
4.504,0.4044
4.521,0.4020
4.534,0.4020
4.544,0.4020
4.559,0.4020
4.572,0.4020
4.586,0.4020
4.600,0.3934
4.619,0.3900
4.632,0.3878
4.643,0.3878
4.656,0.3878
4.669,0.3878
4.684,0.3878
4.698,0.3867
4.712,0.3850
4.726,0.3824
4.741,0.3791
4.757,0.3787
4.769,0.3787
4.781,0.3787
4.795,0.3787
4.809,0.3733
4.833,0.3644
4.859,0.3585
4.882,0.3585
4.891,0.3585
4.905,0.3573
4.920,0.3552
4.936,0.3540
4.948,0.3529
4.962,0.3522
4.975,0.3522
4.989,0.3522
5.003,0.3522
5.017,0.3509
5.033,0.3445
5.050,0.3382
5.068,0.3305
5.093,0.3293
5.116,0.3255
5.130,0.3239
5.143,0.3239
5.156,0.3239
5.169,0.3239
5.183,0.3239
5.198,0.3239
5.212,0.3213
5.227,0.3166
5.245,0.3137
5.258,0.3137
5.268,0.3137
5.281,0.3137
5.295,0.3137
5.309,0.3120
5.325,0.3059
5.342,0.3005
5.357,0.2974
5.369,0.2974
5.380,0.2974
5.392,0.2974
5.406,0.2974
5.420,0.2965
5.441,0.2916
5.452,0.2857
5.467,0.2825
5.480,0.2825
5.493,0.2825
5.503,0.2825
5.518,0.2817
5.532,0.2804
5.546,0.2787
5.561,0.2751
5.576,0.2725
5.590,0.2722
5.602,0.2722
5.615,0.2722
5.629,0.2715
5.644,0.2708
5.658,0.2689
5.673,0.2659
5.688,0.2639
5.704,0.2639
5.727,0.2621
5.743,0.2616
5.755,0.2616
5.768,0.2616
5.782,0.2610
5.797,0.2610
5.810,0.2610
5.824,0.2600
5.839,0.2593
5.854,0.2590
5.867,0.2590
5.880,0.2590
5.894,0.2590
5.907,0.2590
5.922,0.2585
5.936,0.2575
5.951,0.2567
5.965,0.2552
5.979,0.2552
5.991,0.2552
6.005,0.2552
6.019,0.2552
6.033,0.2537
6.048,0.2526
6.065,0.2516
6.079,0.2514
6.088,0.2514
6.102,0.2514
6.116,0.2514
6.130,0.2507
6.146,0.2478
6.161,0.2471
6.173,0.2470
6.189,0.2470
6.201,0.2470
6.214,0.2470
6.227,0.2470
6.241,0.2460
6.257,0.2445
6.271,0.2432
6.284,0.2418
6.299,0.2390
6.312,0.2374
6.328,0.2374
6.338,0.2367
6.353,0.2354
6.366,0.2329
6.382,0.2320
6.395,0.2306
6.409,0.2306
6.422,0.2306
6.436,0.2306
6.449,0.2297
6.464,0.2234
6.481,0.2198
6.494,0.2196
6.505,0.2196
6.519,0.2196
6.533,0.2196
6.547,0.2193
6.561,0.2188
6.575,0.2166
6.591,0.2148
6.605,0.2143
6.617,0.2143
6.630,0.2143
6.644,0.2140
6.659,0.2105
6.674,0.2068
6.688,0.2054
