ElapsedTime,PacketLossRate
0.000,0.9987
0.000,0.9933
0.017,0.9903
0.028,0.9903
0.039,0.9903
0.053,0.9903
0.067,0.9903
0.081,0.9903
0.095,0.9839
0.114,0.9761
0.129,0.9692
0.145,0.9620
0.170,0.9544
0.184,0.9536
0.191,0.9489
0.210,0.9430
0.223,0.9357
0.237,0.9287
0.250,0.9241
0.270,0.9241
0.289,0.9228
0.303,0.9150
0.321,0.9084
0.333,0.9009
0.351,0.8933
0.376,0.8891
0.391,0.8891
0.399,0.8840
0.416,0.8767
0.430,0.8695
0.445,0.8623
0.463,0.8548
0.489,0.8542
0.497,0.8508
0.511,0.8433
0.529,0.8363
0.542,0.8298
0.557,0.8234
0.569,0.8176
0.582,0.8176
0.593,0.8176
0.607,0.8106
0.626,0.8036
0.639,0.7979
0.653,0.7900
0.667,0.7837
0.682,0.7814
0.709,0.7763
0.722,0.7699
0.737,0.7624
0.766,0.7549
0.779,0.7474
0.791,0.7470
0.802,0.7449
0.818,0.7388
0.834,0.7313
0.848,0.7254
0.860,0.7183
0.873,0.7151
0.886,0.7151
0.898,0.7151
0.912,0.7133
0.920,0.7095
0.930,0.7033
0.946,0.6970
0.960,0.6899
0.971,0.6840
0.982,0.6827
0.994,0.6827
1.006,0.6803
1.023,0.6731
1.039,0.6672
1.052,0.6608
1.070,0.6532
1.083,0.6492
1.093,0.6492
1.104,0.6492
1.118,0.6437
1.135,0.6362
1.150,0.6295
1.165,0.6224
1.181,0.6157
1.192,0.6130
1.203,0.6130
1.215,0.6086
1.232,0.6019
1.248,0.5964
1.260,0.5895
1.274,0.5831
1.292,0.5820
1.300,0.5820
1.312,0.5804
1.329,0.5735
1.344,0.5664
1.358,0.5595
1.371,0.5531
1.388,0.5480
1.399,0.5480
1.409,0.5480
1.423,0.5432
1.440,0.5364
1.455,0.5305
1.471,0.5230
1.484,0.5161
1.497,0.5144
1.507,0.5144
1.521,0.5112
1.537,0.5038
1.555,0.4974
1.567,0.4899
1.582,0.4831
1.597,0.4785
1.609,0.4785
1.618,0.4780
1.632,0.4714
1.652,0.4646
1.664,0.4582
1.680,0.4513
1.698,0.4440
1.712,0.4440
1.721,0.4440
1.731,0.4386
1.747,0.4338
1.760,0.4268
1.776,0.4201
1.789,0.4129
1.803,0.4107
1.814,0.4107
1.826,0.4084
1.842,0.4017
1.859,0.3945
1.878,0.3875
1.891,0.3811
1.903,0.3783
1.911,0.3783
1.934,0.3748
1.949,0.3677
1.966,0.3612
1.980,0.3547
1.993,0.3489
2.010,0.3472
2.023,0.3472
2.031,0.3467
2.044,0.3449
2.059,0.3429
2.074,0.3413
2.087,0.3401
2.100,0.3392
2.114,0.3366
2.129,0.3366
2.142,0.3322
2.158,0.3290
2.171,0.3290
2.184,0.3290
2.197,0.3290
2.211,0.3290
2.225,0.3290
2.239,0.3271
2.255,0.3223
2.270,0.3183
2.285,0.3154
2.298,0.3141
2.309,0.3141
2.323,0.3141
2.336,0.3141
2.350,0.3073
2.370,0.3026
2.386,0.2969
2.401,0.2947
2.409,0.2947
2.419,0.2947
2.433,0.2947
2.447,0.2931
2.463,0.2861
2.481,0.2838
2.492,0.2838
2.503,0.2838
2.517,0.2838
2.530,0.2838
2.544,0.2821
2.560,0.2754
2.577,0.2711
2.590,0.2711
2.600,0.2711
2.614,0.2711
2.628,0.2711
2.642,0.2711
2.656,0.2661
2.673,0.2596
2.692,0.2580
2.703,0.2580
2.712,0.2580
2.725,0.2580
2.739,0.2580
2.753,0.2554
2.777,0.2494
2.800,0.2431
2.815,0.2431
2.824,0.2431
2.836,0.2431
2.850,0.2431
2.864,0.2374
2.885,0.2325
2.899,0.2313
2.909,0.2297
2.922,0.2297
2.934,0.2297
2.947,0.2297
2.962,0.2272
2.977,0.2229
2.995,0.2210
3.006,0.2195
3.018,0.2195
3.031,0.2195
3.045,0.2195
3.059,0.2179
3.075,0.2138
3.090,0.2131
3.103,0.2131
3.116,0.2131
3.129,0.2131
3.143,0.2131
3.156,0.2131
3.170,0.2131
3.184,0.2131
3.198,0.2131
3.212,0.2131
3.226,0.2131
3.240,0.2131
3.254,0.2131
3.268,0.2131
3.283,0.2122
3.298,0.2117
3.311,0.2104
3.326,0.2103
3.338,0.2103
3.351,0.2103
3.366,0.2103
3.380,0.2103
3.394,0.2103
3.407,0.2103
