ElapsedTime,PacketLossRate
0.000,0.9997
0.000,0.9941
0.021,0.9920
0.029,0.9920
0.040,0.9920
0.055,0.9920
0.069,0.9920
0.082,0.9920
0.096,0.9920
0.110,0.9864
0.131,0.9807
0.147,0.9750
0.172,0.9750
0.179,0.9750
0.193,0.9740
0.208,0.9687
0.225,0.9667
0.237,0.9635
0.250,0.9635
0.262,0.9635
0.276,0.9616
0.292,0.9566
0.308,0.9564
0.317,0.9564
0.332,0.9564
0.345,0.9564
0.359,0.9564
0.373,0.9564
0.387,0.9509
0.407,0.9472
0.423,0.9472
0.443,0.9472
0.456,0.9472
0.470,0.9472
0.484,0.9445
0.500,0.9379
0.517,0.9312
0.532,0.9266
0.544,0.9201
0.558,0.9148
0.572,0.9148
0.580,0.9118
0.598,0.9051
0.615,0.8996
0.627,0.8942
0.640,0.8923
0.655,0.8923
0.664,0.8923
0.677,0.8923
0.692,0.8906
0.708,0.8856
0.723,0.8808
0.737,0.8791
0.748,0.8791
0.761,0.8791
0.775,0.8791
0.789,0.8791
0.803,0.8725
0.821,0.8663
0.838,0.8620
0.847,0.8620
0.858,0.8620
0.872,0.8620
0.886,0.8620
0.900,0.8574
0.917,0.8508
0.932,0.8449
0.950,0.8449
0.955,0.8425
0.972,0.8425
0.983,0.8425
0.997,0.8393
1.014,0.8331
1.030,0.8267
1.042,0.8242
1.055,0.8242
1.067,0.8242
1.080,0.8242
1.095,0.8240
1.108,0.8178
1.128,0.8114
1.141,0.8090
1.152,0.8065
1.165,0.8065
1.177,0.8065
1.191,0.8065
1.205,0.8023
1.222,0.7963
1.241,0.7918
1.250,0.7894
1.263,0.7859
1.277,0.7859
1.289,0.7859
1.303,0.7859
1.316,0.7859
1.330,0.7859
1.345,0.7859
1.358,0.7859
1.372,0.7859
1.386,0.7859
1.400,0.7846
1.415,0.7795
1.431,0.7736
1.447,0.7672
1.465,0.7608
1.492,0.7541
1.515,0.7537
1.525,0.7537
1.538,0.7537
1.552,0.7537
1.566,0.7537
1.580,0.7537
1.595,0.7537
1.608,0.7537
1.622,0.7537
1.636,0.7502
1.654,0.7439
1.669,0.7379
1.695,0.7317
1.710,0.7313
1.719,0.7254
1.736,0.7195
1.751,0.7135
1.765,0.7135
1.775,0.7135
1.788,0.7135
1.802,0.7135
1.815,0.7135
1.830,0.7135
1.844,0.7135
1.858,0.7135
1.872,0.7135
1.886,0.7135
1.900,0.7135
1.914,0.7111
1.930,0.7052
1.947,0.6988
1.973,0.6929
1.987,0.6868
2.001,0.6809
2.014,0.6795
2.026,0.6795
2.038,0.6795
2.052,0.6795
2.066,0.6795
2.080,0.6795
2.095,0.6795
2.108,0.6795
2.122,0.6795
2.135,0.6739
2.154,0.6675
2.168,0.6613
2.183,0.6551
2.207,0.6528
2.220,0.6468
2.237,0.6428
2.249,0.6409
2.262,0.6409
2.274,0.6409
2.288,0.6409
2.302,0.6409
2.316,0.6409
2.330,0.6409
2.344,0.6409
2.358,0.6409
2.372,0.6409
2.386,0.6409
2.399,0.6409
2.414,0.6409
2.428,0.6377
2.444,0.6315
2.459,0.6257
2.475,0.6198
2.488,0.6139
2.502,0.6117
2.513,0.6117
2.524,0.6117
2.538,0.6117
2.552,0.6117
2.566,0.6117
2.580,0.6117
2.594,0.6117
2.608,0.6117
2.622,0.6117
